,Zone,Resort Name,State,Base Elevation (ft),Top Elevation (ft),Snowfall Score,Total Snow Score With Preservation,Overall Ranking,Regional Ranking,State Ranking,True Snow Per Year (inches),Snow Quality Rank,Dump Potential Rank,MonthsMoreThan90Snow,MonthsLessThan30Snow,latitude,longitude,Acreage,Total Runs,Longest Run (ft),Lifts,Uphill Max (ppl/hr),Terrain Parks,Halfpipes
175,East,Kissing Bridge,NY,1200,1750,44.9,31.8,183,25,5,182, 176, 126,1.0,50.0,42.593106,-78.649345,700 ,38,6000 ,10,  ,3,0
176,East,Stratton,VT,1872,3875,50.5,31.3,154,13,9,189, 177, 100,0.8,41.0,43.11422,-72.905084,600 ,94,15840 ,11,33528  ,5,1
177,East,Burke Mountain,VT,1256,3267,39.5,31.2,177,23,11,200, 178, 157,1.0,40.0,44.58819,-71.9161,260 ,50,13500 ,4,3500  ,3,0
178,Northwest,Warner Canyon,OR,5700,6480,26.8,30.9,213,24,10,150, 179, 208,0.0,60.0,42.237097,-120.295572,200 ,22,5808 ,1,  ,0,0
179,East,Hunter Mountain,NY,1600,3200,48.7,30.1,156,14,2,125, 180, 108,0.0,65.0,42.206015,-74.209067,240 ,55,10560 ,11,  ,2,0
180,East,Cannon Mountain,NH,1900,4080,38.8,29.9,161,16,2,163, 181, 159,0.5,46.5,44.102626,-71.680695,264 ,72,12144 ,10,11000  ,0,0
181,East,Mount Snow,VT,1900,3600,43.2,28.8,172,21,10,167, 182, 129,0.0,47.6,42.969126,-72.895471,590 ,80,13200 ,23,  ,1,0
182,Canadian-Rockies,Silver Summit,AB,3774,4750,21.0,28.6,205,25,5,100, 183, 219,0.0,70.0,53.893053,-116.568475,640 ,12,7920 ,3,2000  ,0,0
183,East,Snowshoe Mountain,WV,3448,4848,42.5,28.4,181,24,1,156, 184, 134,0.9,46.1,38.410945,-79.994398,235 ,60,6600 ,15,  ,5,0
184,East,Whiteface Mountain,NY,1220,4650,41.0,28.3,125,9,1,185, 185, 147,1.1,53.5,44.395033,-73.814102,283 ,86,11120 ,11,10385  ,5,0
185,East,Attitash,NH,600,2350,40.6,27.6,171,20,5,155, 186, 151,0.0,55.0,44.080957,-71.253015,307 ,73,8976 ,10,14385  ,1,0
186,SoCal,Mt. Baldy,CA,6500,8600,22.1,25.8,173,4,21,167, 187, 217,8.3,55.1,34.250459,-117.638644,400 ,26,2100 ,4,5000  ,1,0
187,East,Gore Mountain,NY,998,3600,39.3,25.3,166,18,3,150, 189, 158,0.0,60.0,43.677805,-74.008423,428 ,90,19536 ,13,8400  ,3,1
188,East,Swain Resort,NY,1970,1320,36.2,25.3,204,35,8,130, 188, 176,0.0,65.0,42.476069,-77.854768,60 ,30,5280 ,5,8400  ,3,0
189,SoCal,Snow Valley,CA,6800,7841,27.4,25.2,197,5,22,146, 190, 206,6.0,61.0,34.225323,-117.035576,240 ,35,6600 ,12,18550  ,1,0
190,Midwest,Whitecap Mountains,WI,1350,1750,38.7,24.7,212,14,2,150, 191, 161,0.0,60.0,46.413482,-90.394188,500 ,43,5292 ,7,9400  ,0,0
191,Midwest,Granite Peak,WI,1242,1924,36.2,24.5,209,11,1,75, 192, 175,3.0,55.0,44.929534,-89.683181,275 ,74,3175 ,8,9200  ,5,0
192,Midwest,Lutsen Mountains,MN,1088,1913,33.4,24.3,188,5,1,114, 193, 184,0.0,75.0,47.663046,-90.713775,1000 ,92,10560 ,10,10000  ,4,0
193,East,Waterville Valley,NH,1984,4004,41.1,24.0,186,27,6,185, 195, 146,0.0,56.0,43.966102,-71.525162,220 ,52,15840 ,12,14867  ,4,1
194,East,Loon Mountain,NH,950,3050,41.2,24.0,167,19,4,171, 194, 143,0.0,54.1,44.056891,-71.625906,370 ,61,13200 ,12,15152  ,7,1
